zip,hood,percent
94005,Hillside,0.051320608
94005,Bayshore,0.034382276
94005,Bayview,0.013976536
94005,Crocker,0.010892698
94005,Visitacion Valley,0.000211945
94014,Original Daly City,12.37590984
94014,Hillside,11.78442593
94014,Crocker,9.656260141
94014,Bayshore,9.470720332
94014,Southern Hills,3.686405148
94014,Serramonte,0.932142796
94014,St. Francis,0.401071314
94014,Merced,0.169728675
94014,Visitacion Valley,0.158471279
94014,Westlake,0.119746709
94014,Outer Mission,0.052955827
94014,Crocker Amazon,0.032421847
94015,Westlake,35.38540046
94015,Serramonte,24.4831081
94015,St. Francis,18.57228089
94015,Broadmoor,7.785987162
94015,Merced,3.604852071
94015,Original Daly City,0.179823612
94015,Ingleside Heights,0.008307591
94102,Civic Center,35.59786675
94102,Hayes Valley,30.25996699
94102,Tenderloin,22.30228758
94102,Downtown,3.800413203
94102,Western Addition,3.553625408
94102,Alamo Square,2.749664971
94102,Duboce Triangle,1.694594677
94102,SoMa,0.041579162
94103,SoMa,54.44525588
94103,Mission,13.85102856
94103,Potrero Hill,12.58109475
94103,Mission Dolores,9.042134474
94103,Mission Bay,8.741504541
94103,Castro,0.348754677
94103,Civic Center,0.324695604
94103,South Beach,0.304418738
94103,Hayes Valley,0.145115823
94103,Duboce Triangle,0.089426277
94103,Downtown,0.073369817
94103,Tenderloin,0.053201109
94104,Downtown,77.49654959
94104,Financial District,21.25701563
94104,Chinatown,1.246432515
94105,South Beach,88.07569752
94105,SoMa,0.468191846
94105,Downtown,0.374285061
94105,Financial District,0.06937627
94107,Potrero Hill,42.69998286
94107,Central Waterfront,25.28931489
94107,Mission Bay,13.78163713
94107,South Beach,11.04654727
94107,SoMa,4.761796422
94107,Bayview,0.012264555
94108,Downtown,37.91218371
94108,Chinatown,35.02352661
94108,Nob Hill,24.72490312
94108,Union Square,2.256467257
94108,Tenderloin,0.082918065
94109,Russian Hill,25.46125042
94109,Civic Center,18.58532386
94109,Nob Hill,16.25777575
94109,Pacific Heights,13.61660131
94109,Downtown,8.379340426
94109,Lower Pacific Heights,5.937753237
94109,Tenderloin,5.246769355
94109,Western Addition,3.502295728
94109,Fisherman's Wharf,1.348053852
94109,Cow Hollow,0.297954667
94109,Marina,0.275794947
94109,Fort Mason,0.164654536
94109,Japantown,0.068972826
94110,Bernal Heights,40.21225963
94110,Mission,31.39562898
94110,Potrero Hill,12.68678278
94110,Noe Valley,7.306639439
94110,Mission Dolores,3.693975225
94110,Castro,2.796138037
94110,Glen Park,1.024686209
94110,Bayview,0.839654593
94110,Portola,0.044235042
94111,Financial District,42.35194304
94111,Fisherman's Wharf,28.12102396
94111,Downtown,4.935163636
94111,Telegraph Hill,3.451800421
94111,South Beach,1.305654475
94111,Chinatown,0.318013196
94112,Excelsior,21.57703241
94112,Mission Terrace,15.4689271
94112,Crocker Amazon,12.39022157
94112,Outer Mission,11.54550982
94112,Ingleside,11.43347261
94112,Sunnyside,7.871828411
94112,Oceanview,7.756689179
94112,Westwood Park,6.522972283
94112,Bernal Heights,3.746168077
94112,Mount Davidson Manor,0.863919621
94112,Ingleside Heights,0.231164939
94112,Westwood Highlands,0.134988679
94112,Glen Park,0.127986249
94112,Merced Heights,0.10258989
94112,Ingleside Terrace,0.081352155
94112,Crocker,0.035287571
94112,Southern Hills,0.033859819
94112,Monterey Heights,0.026463885
94112,Bernt's Knoll,0.024107487
94112,Portola,0.018432926
94112,Original Daly City,0.007025464
94114,Noe Valley,34.73800762
94114,Castro,33.72822867
94114,Buena Vista Park,14.99180153
94114,Duboce Triangle,8.236347662
94114,Twin Peaks,5.990801049
94114,Midtown Terrace,2.013306676
94114,Diamond Heights,0.200365101
94114,Ashbury Heights,0.100499956
94114,Hayes Valley,0.000641621
94115,Pacific Heights,31.15203664
94115,Lower Pacific Heights,27.35231865
94115,Western Addition,17.58589815
94115,Anza Vista,9.900372119
94115,North Park,4.455100482
94115,Alamo Square,4.40505446
94115,Presidio Heights,2.183275759
94115,Japantown,2.032686672
94115,Hayes Valley,0.473963916
94115,Laurel Heights,0.440649509
94115,Presidio,0.018644888
94116,Central Sunset,41.06005867
94116,Outer Sunset,33.25181683
94116,Forest Hill,8.75563185
94116,Inner Parkside,8.67579929
94116,Golden Gate Heights,6.297572758
94116,West Portal,0.726068832
94116,Forest Hill Extension,0.263412451
94116,Inner Sunset,0.186911393
94116,Midtown Terrace,0.107963193
94117,Ashbury Heights,20.02338895
94117,Panhandle,14.04414003
94117,Haight,13.90455463
94117,Hayes Valley,13.70962513
94117,North Park,12.18521982
94117,Buena Vista Park,10.91460215
94117,Alamo Square,7.257327238
94117,Lone Mountain,4.08044054
94117,Duboce Triangle,1.423862964
94117,Cole Valley,1.243352986
94117,Forest Knolls,0.611266352
94117,Golden Gate Park,0.547878762
94117,Inner Sunset,0.038687822
94117,Western Addition,0.015652191
94118,Inner Richmond,30.46814033
94118,Laurel Heights,14.53400321
94118,Presidio Heights,11.74340128
94118,Lone Mountain,10.9468219
94118,Golden Gate Park,10.82787405
94118,Lake Street,10.7255607
94118,Central Richmond,9.223647871
94118,Anza Vista,0.622007587
94118,North Park,0.519538287
94118,Presidio,0.389004226
94121,Central Richmond,31.22796479
94121,Outer Richmond,29.95244708
94121,Lincoln Park - Lobos,23.84157768
94121,Sea Cliff,8.605507961
94121,Lake Street,2.762351083
94121,Golden Gate Park,0.02827778
94121,Presidio,0.01984721
94122,Golden Gate Park,36.64535583
94122,Central Sunset,23.31085151
94122,Outer Sunset,18.57526271
94122,Inner Sunset,15.73305125
94122,Golden Gate Heights,2.736273248
94122,Forest Knolls,0.318291556
94122,Outer Richmond,0.145805283
94122,Inner Richmond,0.108945421
94122,Ashbury Heights,0.091197521
94122,Central Richmond,0.063509513
94122,Lone Mountain,0.02997662
94123,Marina,48.13436881
94123,Cow Hollow,28.43832589
94123,Pacific Heights,15.11829646
94123,Fort Mason,4.8246453
94123,Presidio,2.21011034
94123,Russian Hill,4.07E-06
94124,Bayview,47.12463033
94124,Hunters Point,29.85887376
94124,Silver Terrace,7.859315778
94124,Central Waterfront,1.965268607
94124,Potrero Hill,0.060358071
94124,Bernal Heights,0.002136643
94127,Miraloma,24.36571187
94127,Ingleside Terrace,12.77892292
94127,Saint Francis Wood,10.87834795
94127,West Portal,9.592518967
94127,Forest Hill Extension,8.962393645
94127,Monterey Heights,5.793425586
94127,Westwood Highlands,5.636196319
94127,Mount Davidson Manor,5.185876024
94127,Balboa Terrace,4.744214744
94127,Sherwood Forest,4.442432427
94127,Sunnyside,4.000407952
94127,San Francisco State University,1.613266227
94127,Merced Manor,0.595410956
94127,Merced Heights,0.537600925
94127,Forest Hill,0.277437929
94127,Inner Parkside,0.262930562
94127,Midtown Terrace,0.199656722
94127,Westwood Park,0.131491079
94127,Diamond Heights,0.0014285
94129,Presidio,98.66121048
94129,Sea Cliff,0.671053482
94129,Lake Street,0.252122832
94129,Presidio Heights,0.195457022
94130,Treasure Island,71.76569959
94130,Yerba Buena Island,25.15138305
94131,Midtown Terrace,19.51248616
94131,Glen Park,18.67566893
94131,Diamond Heights,17.27554889
94131,Noe Valley,14.97034221
94131,Forest Knolls,14.73821867
94131,Sunnyside,6.02634468
94131,Twin Peaks,5.253734187
94131,Miraloma,2.596291043
94131,Ashbury Heights,0.407479833
94131,Inner Sunset,0.206546545
94131,Bernal Heights,0.136820841
94131,Buena Vista Park,0.133245305
94131,Mission Terrace,0.02282805
94131,Forest Hill Extension,0.021757093
94131,Castro,0.016955137
94131,Forest Hill,0.005732824
94132,Stonestown,22.77483755
94132,San Francisco State University,10.87547168
94132,Stonestown Apartments,8.625025491
94132,Merced Manor,7.083744489
94132,Ingleside Heights,5.909626507
94132,Central Sunset,4.775981878
94132,Merced Heights,3.597200746
94132,Saint Francis Wood,0.939565814
94132,Ingleside Terrace,0.37758896
94132,Outer Sunset,0.268857653
94132,Inner Parkside,0.066423257
94132,Oceanview,0.051819836
94132,Westlake,0.018071793
94132,Ingleside,0.015201569
94132,Original Daly City,0.000677343
94133,Fisherman's Wharf,23.02162792
94133,Russian Hill,19.30532754
94133,Telegraph Hill,18.58720869
94133,North Beach,15.76159814
94133,Nob Hill,5.037099682
94133,Chinatown,4.943943321
94133,Financial District,3.27388169
94134,Portola,31.63852425
94134,Visitacion Valley,28.27697195
94134,Excelsior,16.24861886
94134,Bayview,12.36921004
94134,Bernt's Knoll,9.083180771
94134,Crocker Amazon,1.043982141
94134,Bernal Heights,0.695294591
94134,Silver Terrace,0.404180329
94134,Bayshore,0.13440947
94134,Southern Hills,0.003296071
94158,Mission Bay,91.39072889
94158,Central Waterfront,5.26468363
94158,Potrero Hill,2.009095103